fecha,producto_id,demanda,categoria_abc,variabilidad,prediccion_media_movil,prediccion_regresion_lineal,prediccion_xgboost,metodo_usado,prediccion_final,error_final
2022-06-01,700142,11,C,Baja,35.0,31.082666634852835,41.232098,XGBoost,41.23209762573242,30.232097625732422
2022-04-01,700145,0,C,Alta,0.0,0.0,0.08178447,XGBoost,0.08178447186946869,0.08178447186946869
2022-05-01,700145,20,C,Alta,0.0,0.0,0.118180394,XGBoost,0.11818039417266846,-19.88181960582733
2022-06-01,700145,0,C,Alta,6.666666666666667,2.901966951370424,0.1963384,XGBoost,0.19633840024471283,0.19633840024471283
2022-04-01,700203,0,C,Alta,0.0,0.0,0.119691685,Regresión Lineal,0.0,0.0
2022-05-01,700203,1,C,Alta,0.0,0.0,0.19448894,Regresión Lineal,0.0,-1.0
2022-06-01,700203,0,C,Alta,0.3333333333333333,0.0,0.14647642,Regresión Lineal,0.0,0.0
2022-04-01,700245,1,C,Alta,0.0,0.0,0.0,Regresión Lineal,0.0,-1.0
2022-05-01,700245,0,C,Alta,0.3333333333333333,0.0,0.22885104,Regresión Lineal,0.0,0.0
2022-06-01,700245,0,C,Alta,0.3333333333333333,0.0,0.19870916,Regresión Lineal,0.0,0.0
2022-04-01,700290,4,C,Alta,1.0,0.0,1.6014872,XGBoost,1.601487159729004,-2.398512840270996
2022-05-01,700290,0,C,Alta,2.3333333333333335,0.0,1.1051211,XGBoost,1.10512113571167,1.10512113571167
2022-06-01,700290,2,C,Alta,2.0,0.864733302865786,1.0116053,XGBoost,1.0116052627563477,-0.9883947372436523
2022-04-01,700302,3,C,Alta,0.0,0.0,0.5387703,XGBoost,0.538770318031311,-2.461229681968689
2022-05-01,700302,2,C,Alta,1.0,0.0,0.29477945,XGBoost,0.2947794497013092,-1.7052205502986908
2022-06-01,700302,0,C,Alta,1.6666666666666667,0.0,0.19492088,XGBoost,0.1949208825826645,0.1949208825826645
2022-04-01,700307,84,C,Media,66.66666666666667,85.67806787189915,30.651638,Regresión Lineal,85.67806787189915,1.6780678718991453
2022-05-01,700307,117,C,Media,67.66666666666667,53.292011187439144,22.807844,Regresión Lineal,53.292011187439144,-63.707988812560856
2022-06-01,700307,58,C,Media,90.66666666666667,76.65039881691398,22.633266,Regresión Lineal,76.65039881691398,18.650398816913977
2022-04-01,700308,0,C,Alta,0.0,0.0,0.099877976,XGBoost,0.0998779758810997,0.0998779758810997
2022-05-01,700308,18,C,Alta,0.0,0.0,0.122515045,XGBoost,0.12251504510641098,-17.87748495489359
2022-06-01,700308,0,C,Alta,6.0,2.420004446886586,0.2536458,XGBoost,0.25364580750465393,0.25364580750465393
2022-04-01,700310,1,C,Alta,0.3333333333333333,0.0,0.09673077,Regresión Lineal,0.0,-1.0
2022-05-01,700310,0,C,Alta,0.6666666666666666,0.0,0.12047484,Regresión Lineal,0.0,0.0
2022-06-01,700310,0,C,Alta,0.3333333333333333,0.0,0.057669453,Regresión Lineal,0.0,0.0
2022-04-01,700319,6,C,Media,4.333333333333333,3.494611458868505,2.6775436,Media móvil,4.333333333333333,-1.666666666666667
2022-05-01,700319,4,C,Media,4.666666666666667,1.7026175672211137,2.300989,Media móvil,4.666666666666667,0.666666666666667
2022-06-01,700319,2,C,Media,5.0,3.430040726939242,1.4155297,Media móvil,5.0,3.0
2022-04-01,700320,0,C,Alta,0.3333333333333333,0.0,0.7230395,Regresión Lineal,0.0,0.0
2022-05-01,700320,4,C,Alta,0.3333333333333333,0.0,0.6227243,Regresión Lineal,0.0,-4.0
2022-06-01,700320,0,C,Alta,1.6666666666666667,0.0,0.45134762,Regresión Lineal,0.0,0.0
2022-04-01,700326,2,C,Media,1.6666666666666667,2.682994750921968,2.3241396,Media móvil,1.6666666666666667,-0.33333333333333326
2022-05-01,700326,2,C,Media,1.0,0.0,4.2456274,Media móvil,1.0,-1.0
2022-06-01,700326,0,C,Media,1.3333333333333333,0.0,3.8094077,Media móvil,1.3333333333333333,1.3333333333333333
2022-04-01,700401,0,C,Alta,1.6666666666666667,2.8055695905042377,0.5097406,XGBoost,0.5097405910491943,0.5097405910491943
2022-05-01,700401,0,C,Alta,0.3333333333333333,0.0,0.9588455,XGBoost,0.9588454961776733,0.9588454961776733
2022-06-01,700401,1,C,Alta,0.0,0.0,0.8950815,XGBoost,0.8950815200805664,-0.1049184799194336
2022-04-01,700410,0,C,Alta,3.0,0.0877400572662852,1.3058324,XGBoost,1.3058323860168457,1.3058323860168457
2022-05-01,700410,0,C,Alta,3.0,0.2511731767093113,1.3464761,XGBoost,1.3464760780334473,1.3464760780334473
2022-06-01,700410,4,C,Alta,3.0,9.199270766593408,1.1224766,XGBoost,1.122476577758789,-2.877523422241211
2022-04-01,700422,1,C,Media,0.6666666666666666,0.0,0.94875395,XGBoost,0.9487539529800415,-0.051246047019958496
2022-05-01,700422,1,C,Media,0.6666666666666666,0.0,0.79196584,XGBoost,0.7919658422470093,-0.20803415775299072
2022-06-01,700422,0,C,Media,1.0,0.0,0.97019863,XGBoost,0.9701986312866211,0.9701986312866211
2022-04-01,700441,24,C,Baja,35.0,27.070581261011007,34.109013,Regresión Lineal,27.070581261011007,3.0705812610110073
2022-05-01,700441,40,C,Baja,33.666666666666664,39.13213795012388,34.528217,Regresión Lineal,39.13213795012388,-0.8678620498761234
